Molecule Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Diisopropyl (R)-(+)-malate,74.65979408,1.189282743,-18.22359513,15.54272929,47.95649159,-41.61400758,28.57803865,-51.02736223,67.98247031,-19.40913929,2.409327878,7.475747823,5.045700703,37.71101898,-2.30238612
(-)-Isocaryophyllene,7.530661439,-34.34383474,-11.05960974,2.576802996,-3.415417598,2.758825724,-4.623536669,-0.038556564,0.509350717,-3.665693015,-3.30186995,-6.528703783,-2.256441933,6.61156111,10.65324714
(+)-Cyclosativene,-19.22196065,-40.44366655,-4.784087842,-9.010875057,4.22343777,-4.431104777,1.897052209,0.09353122,-3.660846448,1.238666088,-2.423342114,5.052925508,3.96724054,-6.040239257,-7.838973126
Diisopropyl (S)-(-)-malate,-78.49077786,95.05789884,49.67153427,57.69853443,41.54918014,-23.13782144,-1.577683966,17.09471999,-44.07251407,30.50942172,0.491193906,-3.659356707,-1.816059518,-12.81825529,-8.839608062
(1R)-(-)-Neomenthyl acetate,-26.70920552,1.726839436,42.40766096,49.85579923,26.79965643,-32.13415732,14.04248939,-24.58456628,10.68234694,-49.16841534,18.47657967,-21.48700779,-25.54162099,46.53431258,4.867793728
Methyl (R)-(-)-mandelate,-12.01853818,44.4897135,-134.4023404,18.62236059,44.259413,2.537202146,-3.172136269,-27.16773624,-3.954993642,14.23519013,2.353330444,8.280970604,8.851687621,24.13462822,-1.164290896
"(1S,2R,5S)-(+)-Menthol",-8.760878434,-29.17928549,-24.69223823,-11.43350775,3.967889501,20.36820428,-16.81764571,-29.73994146,-0.041213739,26.98694839,15.38122409,-19.92795338,-10.37369018,0.108080943,20.53081878
Ethyl (R)-(-)-mandelate,29.43145315,42.06739373,-135.9787782,15.50665246,48.41734781,-0.57211043,0.220613658,-27.76308156,-20.05080991,12.26909197,4.350791251,10.16852776,2.256010132,19.44250808,-15.66912487
(S)-(-)-Pulegone,-38.5666442,-23.90164734,17.95415976,16.40543558,-19.76711657,6.53169247,21.00158791,0.828831099,-28.71324457,6.601543597,8.213817885,4.227625945,3.876843389,-16.40658064,-19.87437955
Ethyl (R)-(-)-mandelate,15.2745501,17.75467813,-112.3720122,-0.349511211,39.03909812,5.225520052,0.27675063,-20.96928678,-21.40681593,10.106266,-2.694635663,2.651257596,-0.323807845,13.33991629,-9.621688438
Methyl (R)-(-)-mandelate,4.549350365,29.96180826,-98.07375167,17.83748717,32.03982014,-0.7833694,-2.343524348,-27.08132764,-6.45210936,13.074927,-4.928080983,-1.17477292,-1.534436152,26.06534676,-3.754348547
Ethyl (S)-(+)-mandelate,-22.61325531,-27.97771575,129.6525346,20.43687931,2.265563564,-34.30440895,5.632749885,4.548073316,16.39764297,0.791163788,-3.777890104,-4.456321829,-13.05852179,-8.430736928,4.197311355
Methyl (S)-(+)-mandelate,-35.61117699,25.90870206,120.3426468,40.79211981,-0.076586349,-73.98856526,22.40660487,-18.5225006,7.175108764,13.63291163,-5.724079029,-13.88487199,-12.40333824,2.101012757,-6.848098565
(S)-(-)-1-Phenyl-1-butanol,-13.81814525,-27.53311276,-5.261804454,-7.456667617,-8.271727473,1.858986526,-2.932940482,-1.081914252,-4.699488444,-5.887196083,-3.604447906,5.498961982,3.708399105,-4.944171668,-1.883670016
(+)-Chloromethyl menthyl ether,-20.83947144,-18.23586882,-45.12527709,43.25391224,-10.64407369,-11.60798517,1.265381993,-29.86428273,88.21978821,14.95771261,-23.99218953,40.23720835,-23.6145843,-49.46991149,37.79019862
"(1S,2S,5S)-(-)-2-Hydroxy-3-pinanone",34.18267403,-7.919192963,6.305234596,4.660516716,11.67064161,-24.69034364,2.721371951,93.84756312,-18.05970221,24.56039357,-14.43441013,49.71559941,6.91469861,34.25003227,59.74835134
"(-)-p-Mentha-1,5-diene",-11.43515871,-38.25076023,-2.464420558,-7.381550329,-0.19111558,-1.877860803,-2.909695981,1.405493934,-5.204999713,-0.983677309,-2.208741969,-0.295785162,2.302880352,-2.695769231,1.337132367
(+)-Chloromethyl isomenthyl ether,-111.9206991,2.644729602,-30.41586875,-7.3020336,-1.972230169,-8.353996404,-4.622146369,18.29350336,39.12349837,15.24466619,14.42117229,22.60026755,-8.392816505,-11.03209419,2.536427231
(-)-Chloromethyl menthyl ether,2.445761681,-26.07737832,32.36162382,-34.3705116,-9.322197177,5.439128921,-9.182013495,35.21514201,-73.39012619,-11.75403245,18.23936676,-24.92331236,25.60189548,49.58434406,-29.79503346
"(1S,2S,5R)-(+)-Neomenthol",-9.027961139,-37.65691982,-4.25194946,-12.6152501,1.507779224,8.958839315,-6.854209984,-9.51132019,2.402337128,14.21751593,-11.37502649,4.961479403,-2.029581407,-20.37170466,-7.769657914
(+)-Longifolene,-12.32980976,-35.21854608,-8.685098706,-6.097551108,-1.215869574,0.850025307,-1.710994258,4.193394295,-8.822149201,-3.784005898,8.369273516,-5.490295729,8.935537019,-5.659186107,7.288258935
